ID,Energy
51,-145.088752841325
114,-145.088718729008
731,-145.088620166259
501,-145.088582143078
156,-145.088501108182
30,-145.088390543860
73,-145.088324818527
256,-145.088318173536
556,-145.088042456717
102,-145.087951094938
364,-145.087836092447
369,-145.087598404101
158,-145.087511408400
850,-145.087447972476
494,-145.087406610439
847,-145.087383032819
480,-145.087269624723
257,-145.087123386907
349,-145.087105187256
60,-145.086901714143
421,-145.086625933431
115,-145.086507226257
250,-145.086286381606
956,-145.086029029663
671,-145.085958875886
419,-145.085927249871
132,-145.085829599620
898,-145.085717171416
482,-145.085555785764
954,-145.085519540252
106,-145.085439209028
81,-145.084963801659
666,-145.084738326907
445,-145.084686247273
443,-145.084468804932
274,-145.084149199844
377,-145.084057056864
873,-145.084002402379
714,-145.083706727454
693,-145.083080433015
962,-145.083074328257
444,-145.082695274540
580,-145.082487113842
690,-145.082264546225
209,-145.082133849941
727,-145.082084658927
746,-145.081513572999
615,-145.081448153279
56,-145.081334794854
182,-145.081164820401
691,-145.080873083050
6,-145.080851797604
829,-145.080818303272
607,-145.080555504541
709,-145.080346314922
653,-145.080044370531
378,-145.080020357389
620,-145.079997975229
263,-145.079817123257
685,-145.079653310152
879,-145.079280023388
639,-145.078940919186
101,-145.078371612095
279,-145.078229531869
217,-145.078014873545
753,-145.077761558975
862,-145.077624445041
543,-145.077516466443
786,-145.077377480757
262,-145.077088893707
995,-145.076704302900
883,-145.076484077057
567,-145.076165057617
531,-145.076036666422
466,-145.075659327642
468,-145.075040159291
75,-145.074964717063
924,-145.074698548444
522,-145.074149919510
305,-145.073953641997
554,-145.073779395607
387,-145.073750541652
605,-145.073663177830
375,-145.073600558095
2,-145.072939636058
704,-145.072742971252
278,-145.072042207904
270,-145.071899261156
747,-145.071523894554
454,-145.071378906732
935,-145.070629137269
77,-145.070351049361
782,-145.069894053567
159,-145.069622568972
596,-145.068799560001
309,-145.068792144908
585,-145.068400331620
649,-145.068236385061
258,-145.068095978828
951,-145.068019461139
100,-145.067415410371
865,-145.067411742799
765,-145.067194583223
16,-145.067130769245
176,-145.066049397532
599,-145.065848388835
330,-145.065702625899
493,-145.065260738451
188,-145.064683290192
986,-145.064603426986
359,-145.064278403270
151,-145.063534091506
525,-145.063302673827
147,-145.063140101005
45,-145.063012268982
598,-145.062908388482
168,-145.062677925508
460,-145.062606442500
348,-145.061823364963
23,-145.061475390343
20,-145.061388606743
836,-145.059945130498
774,-145.059152726315
789,-145.058886834902
163,-145.058412358848
413,-145.058395561847
984,-145.058305076764
514,-145.058184890442
726,-145.058008922337
760,-145.057835997518
880,-145.057613704651
825,-145.057348589191
916,-145.057143375142
878,-145.056847610129
483,-145.055834084101
755,-145.055744376161
801,-145.055535850334
569,-145.054890767917
584,-145.054284281527
987,-145.053728278894
381,-145.052983650132
942,-145.052972859581
322,-145.052634128803
971,-145.051814412270
686,-145.051603300972
403,-145.051341095521
83,-145.050755228970
960,-145.047270435716
955,-145.047126499543
251,-145.046741907867
496,-145.044141831239
26,-145.043952502528
236,-145.043438252198
34,-145.043005198758
831,-145.042693142006
191,-145.041993684192
434,-145.036916977999
396,-145.035536365209
507,-145.034925370353
577,-145.032611762492
813,-145.029155458418
808,-145.026130220800
559,-145.024753349886
656,-145.023373179433
314,-145.017987280897
412,-145.016845243070
293,-145.015745494278
551,-145.012865190966
3,-144.976117690102
58,-144.957337065611
999,-144.749210298575
